timestamp,open,high,low,close,volume
2016-10-31,3.99,4.04,3.98,4.03,217.42117961
2016-11-01,4.0,4.17,3.38,4.07,3886.49530644
2016-11-02,4.03,4.11,4.03,4.11,33.84945823
2016-11-03,4.18,4.19,3.8,3.91,1043.61356718
2016-11-04,3.9,3.95,3.82,3.82,539.77543244
2016-11-05,3.84,3.91,3.84,3.91,302.56927
2016-11-06,3.91,3.95,3.85,3.9,393.40597867
2016-11-07,3.91,3.92,3.85,3.9,289.80328137
2016-11-08,3.9,3.9,3.83,3.83,70.1177
2016-11-09,3.87,3.92,3.82,3.82,1161.58108795
2016-11-10,3.82,3.89,3.8,3.8,693.49672148
2016-11-11,3.81,3.84,3.8,3.8,3.02966277
2016-11-12,3.81,3.84,3.72,3.73,1384.97462458
2016-11-13,3.72,3.92,3.64,3.86,718.54270014
2016-11-14,3.9,3.9,3.85,3.85,41.1598999
2016-11-15,3.91,3.93,3.9,3.9,511.56050047
2016-11-16,3.85,3.98,3.85,3.9,704.20212575
2016-11-17,3.96,4.15,3.86,3.91,1419.39656884
2016-11-18,3.86,3.98,3.86,3.88,164.63396711
2016-11-19,3.9,3.98,3.82,3.95,1083.69823712
2016-11-20,3.9,3.95,3.82,3.82,587.80133314
2016-11-21,3.94,3.94,3.85,3.94,24.66868564
2016-11-22,3.94,3.95,3.86,3.94,52.53243709
2016-11-23,3.94,3.94,3.86,3.92,357.17733356
2016-11-24,3.92,3.93,3.82,3.86,160.49440975
2016-11-25,3.93,3.93,3.82,3.84,299.53403012
2016-11-26,3.9,3.93,3.85,3.88,24.53215217
2016-11-27,3.88,3.92,3.83,3.89,251.23632219
2016-11-28,3.88,3.9,3.83,3.89,21.88939862
2016-11-29,3.89,3.89,3.82,3.85,40.22265717
2016-11-30,3.82,3.88,3.82,3.83,31.69687889
2016-12-01,3.88,3.9,3.85,3.9,113.28703156
2016-12-02,3.9,3.93,3.86,3.93,205.16843322
2016-12-03,3.93,3.93,3.88,3.92,107.66710365
2016-12-04,3.91,3.92,3.9,3.9,282.08288513
2016-12-05,3.86,3.91,3.38,3.55,3712.35544728
2016-12-06,3.46,3.56,3.45,3.49,455.76554633
2016-12-07,3.54,3.67,3.47,3.65,578.8702406
2016-12-08,3.67,3.75,3.64,3.69,215.62719523
2016-12-09,3.66,3.71,3.66,3.66,7.69054916
2016-12-10,3.66,3.71,3.65,3.69,208.83652445
2016-12-11,3.69,3.69,3.6,3.65,949.02765227
2016-12-12,3.62,3.69,3.6,3.67,1408.79105511
2016-12-13,3.67,3.67,3.62,3.67,112.47927747
2016-12-14,3.66,3.66,3.59,3.59,148.30949487
2016-12-15,3.68,3.68,3.66,3.67,26.30715333
2016-12-16,3.65,3.65,3.61,3.62,103.53073853
2016-12-17,3.66,3.72,3.6,3.72,124.3536867
2016-12-18,3.74,3.74,3.71,3.71,19.68850004
2016-12-19,3.71,3.71,3.62,3.62,81.83208384
2016-12-20,3.62,3.66,3.61,3.66,18.007995
2016-12-21,3.63,3.63,3.61,3.61,73.427139
2016-12-22,3.61,3.74,3.58,3.64,924.01905186
2016-12-23,3.66,4.72,3.66,4.61,11587.8619418
2016-12-24,4.67,4.75,4.27,4.44,3367.72743959
2016-12-25,4.35,4.35,4.11,4.22,1086.86993287
2016-12-26,4.4,4.4,4.16,4.19,126.351017
2016-12-27,4.2,4.48,4.2,4.35,1711.08591856
2016-12-28,4.4,4.67,4.39,4.56,3808.73096656
2016-12-29,4.46,4.63,4.42,4.42,377.3666882
2016-12-30,4.55,4.59,4.16,4.44,848.33939466
2016-12-31,4.35,4.38,4.35,4.37,88.07166932
2017-01-01,4.37,4.56,4.1,4.53,2104.94745698
2017-01-02,4.45,4.75,4.39,4.55,2019.31630574
2017-01-03,4.65,4.66,4.42,4.57,1434.04243836
2017-01-04,4.57,4.74,4.45,4.58,4628.14518707
2017-01-05,4.71,4.85,4.0,4.25,6257.49920103
2017-01-06,4.33,4.35,3.8,3.81,2036.6511248
2017-01-07,3.81,4.0,3.63,3.97,2267.14535338
2017-01-08,3.99,4.03,3.91,4.03,455.22400397
2017-01-09,4.0,4.55,3.92,4.47,2467.94730542
2017-01-10,4.29,4.68,4.29,4.67,3064.15141894
2017-01-11,4.5,4.66,3.8,3.94,9215.16248563
2017-01-12,3.91,4.14,3.81,4.03,2486.55008354
2017-01-13,4.03,4.63,3.87,3.93,3044.94938017
2017-01-14,4.03,4.03,3.87,3.89,338.58553001
2017-01-15,3.95,3.96,3.88,3.88,340.85994879
2017-01-16,3.94,3.94,3.88,3.88,327.43906288
2017-01-17,3.89,4.02,3.89,3.99,2330.3421338
2017-01-18,3.92,3.98,3.85,3.9,1835.47227955
2017-01-19,3.9,3.95,3.85,3.89,544.20751
2017-01-20,3.92,3.99,3.86,3.88,663.68872832
2017-01-21,3.93,3.95,3.87,3.93,78.17949819
2017-01-22,3.9,3.93,3.82,3.82,2599.0405854
2017-01-23,3.88,3.9,3.82,3.82,1101.67858901
2017-01-24,3.82,3.85,3.72,3.72,4090.78235483
2017-01-25,3.75,3.75,3.66,3.71,1617.23974811
2017-01-26,3.72,3.89,3.67,3.89,3284.09708578
2017-01-27,3.8,3.91,3.8,3.85,76.14965584
2017-01-28,3.91,3.96,3.85,3.89,1748.7115756
2017-01-29,3.88,3.89,3.83,3.89,420.64650922
2017-01-30,3.89,4.69,3.85,4.14,7967.71877944
2017-01-31,4.13,4.2,4.0,4.12,5891.01568539
2017-02-01,4.11,4.11,4.02,4.07,3943.1857586
2017-02-02,4.07,4.12,3.97,4.05,1526.78909256
2017-02-03,4.12,4.12,3.94,4.0,1468.74438509
2017-02-04,4.05,4.08,3.9,4.0,4124.60440301
2017-02-05,4.01,4.01,3.92,3.94,3318.5300774
2017-02-06,3.94,3.99,3.92,3.95,756.34828251
2017-02-07,3.95,4.0,3.8,3.96,4466.70910481
2017-02-08,4.0,4.0,3.85,3.99,2976.72831619
2017-02-09,3.92,4.02,3.58,3.76,19970.24926748
2017-02-10,3.7,3.84,3.67,3.8,1408.04823989
2017-02-11,3.84,3.95,3.76,3.85,2541.71071074
2017-02-12,3.78,3.79,3.78,3.79,125.11381411
2017-02-13,3.79,3.79,3.75,3.78,642.09510635
2017-02-14,3.74,3.84,3.72,3.84,1845.31989359
2017-02-15,3.84,3.9,3.8,3.9,853.81144631
2017-02-16,3.88,3.92,3.84,3.84,1180.33553898
2017-02-17,3.9,3.92,3.82,3.82,126.78807
2017-02-18,3.88,3.92,3.8,3.8,400.606713
2017-02-19,3.77,3.84,3.7,3.77,1750.87242628
2017-02-20,3.79,3.81,3.75,3.8,252.15566414
2017-02-21,3.75,3.85,3.75,3.81,1245.11317815
2017-02-22,3.87,3.91,3.85,3.91,421.53638713
2017-02-23,3.9,3.95,3.87,3.88,2187.15084615
2017-02-24,3.88,3.98,3.76,3.94,9817.14271212
2017-02-25,3.95,3.95,3.85,3.85,394.34821699
2017-02-26,3.85,3.91,3.84,3.89,215.06710003
