Date,AAPL,IBM,KO
1981-12-18,0.335445,6.166629,0.28733400000000003
1981-12-21,0.32078,6.125881,0.284211
1981-12-22,0.32628,6.18021,0.28629299999999996
1981-12-23,0.318947,6.098712,0.28733400000000003
1981-12-24,0.32078,6.193795,0.28525100000000003
1981-12-28,0.306116,6.139464,0.28525100000000003
1981-12-29,0.31161500000000003,6.085134,0.28629299999999996
1981-12-30,0.324447,6.22096,0.288375
1981-12-31,0.324447,6.18021,0.289416
1982-01-04,0.32261300000000004,6.329619999999999,0.288375
1982-01-05,0.306116,6.193795,0.28629299999999996
1982-01-06,0.30245,6.166629,0.289416
1982-01-07,0.278621,6.166629,0.297744
1982-01-08,0.291452,6.166629,0.299827
1982-01-11,0.273122,6.166629,0.297744
1982-01-12,0.26395599999999997,6.248124,0.297744
1982-01-13,0.26212399999999997,6.234542,0.294621
1982-01-14,0.274955,6.397539,0.291498
1982-01-15,0.293285,6.492614,0.28629299999999996
1982-01-18,0.298784,6.723527000000001,0.28525100000000003
1982-01-19,0.291452,6.628446,0.26651199999999997
1982-01-20,0.296951,6.68278,0.25506100000000004
1982-01-21,0.30245,6.79144,0.261307
1982-01-22,0.30428299999999997,6.6963550000000005,0.260266
1982-01-25,0.295118,6.737108999999999,0.257143
1982-01-26,0.28412,6.709941000000001,0.259225
1982-01-27,0.285953,6.805022,0.261307
1982-01-28,0.295118,6.995185,0.26651199999999997
1982-01-29,0.298784,6.913689,0.27171799999999996
1982-02-01,0.295118,6.805022,0.265471
1982-02-02,0.296951,6.8457740000000005,0.26651199999999997
1982-02-03,0.296951,6.818605000000001,0.263389
1982-02-04,0.289619,6.968445,0.265471
1982-02-05,0.289619,6.968445,0.26755300000000004
1982-02-08,0.271289,6.775639,0.265471
1982-02-09,0.271289,6.761869,0.26443
1982-02-10,0.274955,6.8169509999999995,0.268595
1982-02-11,0.271289,6.7481,0.268595
1982-02-12,0.274955,6.720553,0.26755300000000004
1982-02-16,0.269455,6.85827,0.26443
1982-02-17,0.273122,6.85827,0.262348
1982-02-18,0.27678800000000003,6.913357,0.262348
1982-02-19,0.274955,6.8720419999999995,0.259225
1982-02-22,0.271289,6.6517,0.251938
